smiles,source,pki
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)C4CCCO4)CC3)nc1-2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cn(CNC(=O)CN3CCN(c4ccccc4OC)CC3)nc1-2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cnn(CCN3CCN(C(=O)c4cccs4)CC3)c1-2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)c4ccco4)CC3)nc1-2,ChEMBL,4.3979400086720375
CCCCCCCC/C=C\CCCCCCCCNC(=O)c1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cn(CNC(=O)CN3CCN(c4cccc(C)c4C)CC3)nc1-2,ChEMBL,4.3979400086720375
O=[N+]([O-])c1ccc2[nH]nc(OCc3cccc4ccccc34)c2c1,ChEMBL,4.3979400086720375
CCCCCCCC/C=C\CCCCCCCCNC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,ChEMBL,4.3979400086720375
Nc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)C1=CC2=C(C(=O)C1=O)c1[nH]ncc1C(C)(C)O2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cnn(CCN3CCN(C(=O)c4ccco4)CC3)c1-2,ChEMBL,4.3979400086720375
COc1ccc(COc2n[nH]c3ccc([N+](=O)[O-])cc23)cc1,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)c1cc(OCC)c2c(c1)OC(C)(C)c1cnn(-c3ccc(Cl)c(Cl)c3)c1-2,ChEMBL,4.3979400086720375
CC1(C)[C@@H]2CC[C@]1(C)[C@H](NC(=O)c1nn(-c3ccc(Cl)cc3Cl)c3c1Cc1cc(C4CC4)ccc1-3)C2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)c4cccs4)CC3)nc1-2,ChEMBL,4.3979400086720375
C#CC#CCCCC/C=C/C(=O)NCC(C)C,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cnn(CNC(=O)CN3CCN(c4cccc(C)c4C)CC3)c1-2,ChEMBL,4.3979400086720375
Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,ChEMBL,4.447331783887806
Cc1c(C(=O)NN2CCCCC2)nn(C)c1-c1ccc(Cl)cc1,ChEMBL,4.459999937940861
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,ChEMBL,4.473660722610156
COCCNC(=O)c1c(NC(=O)c2ccccc2C(F)(F)F)sc2c1CCOC2,ChEMBL,4.522878745280337
O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCOC2)c1ccccc1OC(F)(F)F,ChEMBL,4.522878745280337
CCCCCCC(C)(C)c1ccc(-c2cc(C)cc(C)c2)cc1,ChEMBL,4.522878745280337
COC1CN(C(=O)c2c(NC(=O)c3ccccc3C(F)(F)F)sc3c2CCOC3)C1,ChEMBL,4.522878745280337
COCCNC(=O)c1c(NC(=O)c2c(F)cccc2C(F)(F)F)sc2c1CCOC2,ChEMBL,4.522878745280337
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ChEMBL,4.543224161992789
Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCCNC(=O)Oc1ccccc1F,ChEMBL,4.638272163982407
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,ChEMBL,4.647200257436687
c1ccc2cc(COc3n[nH]c4ccccc34)ccc2c1,ChEMBL,4.663540266151471
COc1cccc(Cc2cc3c(OC)cccc3oc2=O)c1,ChEMBL,4.675717544702307
O=C1N2CCSC2=NC1(c1ccccc1)c1ccccc1,ChEMBL,4.675717544702307
O=S(=O)(NCCN1CCOCC1)c1ccc(Nc2ccc(Cl)cc2Cl)cc1C(F)(F)F,ChEMBL,4.677367288307776
COc1ccc(COc2n[nH]c3ccccc23)cc1,ChEMBL,4.6777807052660805
CCCCCC=CCC=CCCCCCCCC(=O)NCCO,GLASS,4.684029654543083
O=C(Cc1ccccc1)NC(/C=C/c1ccccc1)NC(=O)Cc1ccccc1,ChEMBL,4.698970004336019
CCCCCCCCC=CCCCCCCCCNC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,GLASS,4.698970004336019
CCCCCCCCC=CCCCCCCCCNC(=O)c1nn(-c2ccccc2)c(-c2ccccc2)c1C,GLASS,4.698970004336019
CCCCCCCCC=CCCCCCCCCNC(=O)c1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,GLASS,4.698970004336019
COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,ChEMBL,4.698970004336019
CC(C)CNC(=O)/C=C/C=C/CCCCCC/C=C/c1ccc2c(c1)OCO2,ChEMBL,4.698970004336019
COc1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1,ChEMBL,4.698970004336019
O=C(Cc1ccccc1)NC(CCc1ccccc1)NC(=O)Cc1ccccc1,ChEMBL,4.698970004336019
O=C(Cc1ccccc1)NC(Cc1ccccc1)NC(=O)Cc1ccccc1,ChEMBL,4.698970004336019
O=C(Cc1ccccc1)NC(NC(=O)Cc1ccccc1)c1ccc(N(Cc2ccccc2)Cc2ccccc2)cc1,ChEMBL,4.698970004336019
CC(C)Oc1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(CN(C(=O)Cc2ccccc2)c2ccc(C)cc2)cc1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(CN(C(=O)C2CCCCC2)c2ccc(Cl)cc2)cc1,ChEMBL,4.698970004336019
COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1ccc(Cl)cc1,ChEMBL,4.698970004336019
CCCCCC(=O)NC(NC(=O)CCCCC)c1ccc(N(CC)CC)cc1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(CN(c2ccc(Cl)cc2)S(=O)(=O)c2ccc(OC)cc2)cc1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(C(NC(=O)/C=C/c2ccccc2)NC(=O)/C=C/c2ccccc2)cc1,ChEMBL,4.698970004336019
CCCCCCCCCC(=O)NC(NC(=O)CCCCCCCCC)c1ccc(N(CC)CC)cc1,ChEMBL,4.698970004336019
CCCCCCC(C)(C)c1cc(OC)c(-c2cc(C)cc(C)c2)c(OC)c1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(C(NC(=O)c2ccccc2)NC(=O)c2ccccc2)cc1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(CN(C(=O)Cc2ccc(Cl)cc2)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,ChEMBL,4.698970004336019
O=C(Cc1ccc(Cl)cc1)NC(NC(=O)Cc1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1,ChEMBL,4.698970004336019
CCN(CC)c1ccc(CN(C(=O)C2CCCCC2)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,ChEMBL,4.698970004336019
COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2Cc1cccc(Cl)c1Cl,ChEMBL,4.698970004336019
CCCCN(CCCC)c1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1,ChEMBL,4.698970004336019
COc1ccc(C(NC(=O)Cc2ccc(Cl)cc2)NC(=O)Cc2ccc(Cl)cc2)cc1,ChEMBL,4.698970004336019
CCCCC(=O)NC(NC(=O)CCCC)c1ccc(N(CC)CC)cc1,ChEMBL,4.698970004336019
CCCCCC(NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1,ChEMBL,4.698970004336019
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,ChEMBL,4.698970004336019
CCCCCCCC(=O)NC(NC(=O)CCCCCCC)c1ccc(N(CC)CC)cc1,ChEMBL,4.698970004336019
CC#CC#CC/C=C\CCC/C=C/C=C/C(=O)NCC(C)C,ChEMBL,4.698970004336019
CCN(CC)c1ccc(C(NC(=O)C(C)(C)C)NC(=O)C(C)(C)C)cc1,ChEMBL,4.698970004336019
