GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)
6162	P21554	AIFHFYUGIKYJLC-UHFFFAOYSA-N	EC50	0.0	17000.0	nM	24461289
6373	P21554	AINAOCGEWHJMQA-UHFFFAOYSA-N	EC50	0.0	10000.0	nM	18680277
6479	P21554	AIRRFXOPAYAPCU-UHFFFAOYSA-N	Kd	1.259	1.259	nM	15771428
6479	P21554	AIRRFXOPAYAPCU-UHFFFAOYSA-N	Ki	33.0	33.0	nM	15771428
6776	P21554	AJCJVUCTNUGNEE-FQEVSTJZSA-N	Ke	70.0	70.0	nM	22372835
6776	P21554	AJCJVUCTNUGNEE-FQEVSTJZSA-N	Ki	271.0	271.0	nM	22372835
6777	P21554	AJCJVUCTNUGNEE-HXUWFJFHSA-N	Ke	27.0	27.0	nM	22372835
6777	P21554	AJCJVUCTNUGNEE-HXUWFJFHSA-N	Ki	134.0	134.0	nM	22372835
6852	P21554	AJFFBPZYXRNAIC-JNYMONNXSA-N	Activity	0.21	0.21	-	18511157
6853	P21554	AJFFBPZYXRNAIC-SQAGKMLGSA-N	Activity	0.37	0.37	-	18511157
6856	P21554	AJFFBPZYXRNAIC-UHFFFAOYSA-N	Activity	73.0	73.0	%	19278853
6856	P21554	AJFFBPZYXRNAIC-UHFFFAOYSA-N	Intrinsic activity	-80.0	-80.0	%	MedChemComm, (2014) 5:5:632
6856	P21554	AJFFBPZYXRNAIC-UHFFFAOYSA-N	Ki	13.2	13.2	nM	Med Chem Res, (2013) 22:9:4133
6856	P21554	AJFFBPZYXRNAIC-UHFFFAOYSA-N	Ki	13.24	13.24	nM	Med Chem Res, (2013) 22:9:4133
6856	P21554	AJFFBPZYXRNAIC-UHFFFAOYSA-N	Ki	422.0	422.0	nM	18511157
6996	P21554	AJKVRKMIQJHUGX-UHFFFAOYSA-N	Ki	270.0	270.0	nM	19091565
7126	P21554	AJQHJXOFVJLPKL-UHFFFAOYSA-N	IC50	23.0	23.0	nM	22421019
7126	P21554	AJQHJXOFVJLPKL-UHFFFAOYSA-N	Ki	235.0	235.0	nM	22421019
7165	P21554	AJRONSKIPUPVLN-IBGZPJMESA-N	EC50	0.0	10000.0	nM	21115245
7206	P21554	AJSPXZGDXSOKJL-UHFFFAOYSA-N	Ki	560.0	560.0	nM	18579386
7212	P21554	AJSTYDSDEMNGQP-UHFFFAOYSA-N	Ki	0.0	1000.0	nM	18430570
7223	P21554	AJTQICSGWRUZJB-UHFFFAOYSA-N	Ki	66.0	66.0	nM	14980654
7256	P21554	AJVCQINLRUJBDY-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	23085772
7442	P21554	AKCXCZPEESTMSV-UHFFFAOYSA-N	IC50	326.0	326.0	nM	17433696
7442	P21554	AKCXCZPEESTMSV-UHFFFAOYSA-N	Ki	509.0	509.0	nM	17513109
7562	P21554	AKHXNMQKPWCTAS-RSAXXLAASA-N	EC50	0.0	100000.0	nM	23795771
7563	P21554	AKHXNMQKPWCTAS-XFULWGLBSA-N	EC50	0.0	100000.0	nM	23795771
7730	P21554	AKOBEJUBLNQHMO-UHFFFAOYSA-N	Ki	1900.0	1900.0	nM	20718492
7738	P21554	AKOJRLZCOBTYPX-UHFFFAOYSA-N	Ki	164.0	164.0	nM	14980654
7968	P21554	AKWQLJJWHBVVBC-UHFFFAOYSA-N	Ki	64.6	64.6	nM	22483967
7973	P21554	AKWSLSBUPCXQOW-UHFFFAOYSA-N	IC50	5000.0	5000.0	nM	18293908
7973	P21554	AKWSLSBUPCXQOW-UHFFFAOYSA-N	Ki	2800.0	2800.0	nM	18293908
7976	P21554	AKWUNZFZIXEOPV-UHFFFAOYSA-N	EC50	79.43	79.43	nM	22421020
7976	P21554	AKWUNZFZIXEOPV-UHFFFAOYSA-N	Ki	19.95	19.95	nM	22421020
8148	P21554	ALCVZCRKYSWLMJ-UHFFFAOYSA-N	Inhibition	21.0	21.0	%	21923175
8255	P21554	ALGPHUCTXNRLQM-UHFFFAOYSA-N	Inhibition	69.0	69.0	%	14980654
8346	P21554	ALKLMHCIYFJFNF-UHFFFAOYSA-N	EC50	79.43	79.43	nM	21316962
8434	P21554	ALNOTCQOWIWEQA-UHFFFAOYSA-N	Ki	6.0	6.0	nM	17107792
8507	P21554	ALQIYEHKHMRAOK-UHFFFAOYSA-N	IC50	67.0	67.0	nM	15664830
8507	P21554	ALQIYEHKHMRAOK-UHFFFAOYSA-N	IC50	2800.0	2800.0	nM	15664830
8507	P21554	ALQIYEHKHMRAOK-UHFFFAOYSA-N	IC50	2818.38	2818.38	nM	19406638
8534	P21554	ALRMJMSWQTWMRV-UHFFFAOYSA-N	Activity	127.8	127.8	%	24125850
8561	P21554	ALTGZVPJBKOZHG-UHFFFAOYSA-N	Activity	60.0	60.0	%	16279809
8561	P21554	ALTGZVPJBKOZHG-UHFFFAOYSA-N	Ki	750.0	750.0	nM	16279809
8564	P21554	ALTHSRSODSFAFQ-UHFFFAOYSA-N	Ki	39.0	39.0	nM	22437111
8584	P21554	ALUOQYLEURYYTB-UHFFFAOYSA-N	Ki	437.0	437.0	nM	21428406
8720	P21554	AMBJYHYRCYLOQR-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	22044209
8777	P21554	AMDPNECWKZZEBQ-UHFFFAOYSA-N	Activity	15.0	0.0	%	16392827
8853	P21554	AMGJQOOMWKAPNL-UHFFFAOYSA-N	Activity	20.0	20.0	%	23697626
8853	P21554	AMGJQOOMWKAPNL-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	23697626
8892	P21554	AMHQJYVBDKPZSA-UHFFFAOYSA-N	EC50	77.0	77.0	nM	22284817
8892	P21554	AMHQJYVBDKPZSA-UHFFFAOYSA-N	Emax	133.0	133.0	%	22284817
8892	P21554	AMHQJYVBDKPZSA-UHFFFAOYSA-N	Ki	32.0	32.0	nM	22284817
8936	P21554	AMJBQOFRORCHMP-UHFFFAOYSA-N	Activity	72.7	72.7	%	16392827
9011	P21554	AMKZZDIDSQZZBA-UHFFFAOYSA-N	Ki	1285.0	1285.0	nM	18311894
9011	P21554	AMKZZDIDSQZZBA-UHFFFAOYSA-N	Ki	1288.25	1288.25	nM	18311894
9072	P21554	AMNKMCZYVZYAJJ-UHFFFAOYSA-N	Activity	23.6	23.6	%	17915849
9094	P21554	AMOGWGAQMCOLMW-UHFFFAOYSA-N	Ki	930.0	930.0	nM	24729834
9100	P21554	AMOQRGVXFGDBST-UHFFFAOYSA-N	IC50	163.0	163.0	nM	18243711
9355	P21554	AMYLHZCZJGVTFT-IGNCQIMGSA-N	Ki	8.55	8.55	nM	17827022
9423	P21554	ANBYXDYPKJILHK-UHFFFAOYSA-N	IC50	11.0	11.0	nM	17270441
9577	P21554	ANHUHZSBZDOOAQ-PCXNKIBISA-N	Ki	1700.0	1700.0	nM	19646869
9681	P21554	ANMKTCMIIFBOGG-DOFZRALJSA-N	Ki	470.0	470.0	nM	16570929
9732	P21554	ANOMNNUJQGKDNX-UHFFFAOYSA-N	Ki	1819.7	1819.7	nM	19921781
9732	P21554	ANOMNNUJQGKDNX-UHFFFAOYSA-N	Ki	1830.0	1830.0	nM	19921781
9765	P21554	ANPQMNNWBKNDGO-INIZCTEOSA-N	Ki	204.0	204.0	nM	17466519
9769	P21554	ANPULBVRORHAGO-VABKMULXSA-N	Ki	0.0	10000.0	nM	18831576
9778	P21554	ANQDZRSJEJYATQ-UHFFFAOYSA-N	EC50	0.0	100000.0	nM	22765893,25466177
9783	P21554	ANQINLYEJKOAGV-UHFFFAOYSA-N	Ki	150.0	150.0	nM	17884494
9785	P21554	ANQSRDBEIISAMR-UHFFFAOYSA-N	IC50	43.0	43.0	nM	15664830
