gpcrdb_id,species,p-value,unit,pKi,assay_type,assay_des,source,molwt,logp,smiles,doi
92126,Human,8.4,pKi,8.4,Binding,RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.,ChEMBL,522,5.9,CC(C)CC(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,
92127,Human,8.8,pKi,8.8,Binding,RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.,ChEMBL,534,6.1,O=C(NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1)C1CCCC1,
92128,Human,8.6,pKi,8.6,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cellsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cells,ChEMBL,536,6.3,CC(C)CCC(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,10.1021/jm401129n
92129,Human,8.7,pKi,8.7,Binding,RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.,ChEMBL,548,6.5,O=C(CC1CCCC1)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,
92130,Human,8.2,pKi,8.2,Binding,RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.,ChEMBL,570,5.2,O=S(=O)(NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1)C(F)(F)F,
110072,Human,8.0,pKi,8.0,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,512,4.7,COc1nn2c(=O)n(Cc3ccc(C(F)(F)F)nc3)nc2c(-c2ccncc2)c1-c1ccc(Cl)cc1,10.1021/jm4010835
110073,Human,5.4,pKi,5.4,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,498,4,O=c1[nH]n2c(=O)n(Cc3ccc(C(F)(F)F)nc3)nc2c(-c2ccncc2)c1-c1ccc(Cl)cc1,10.1021/jm4010835
110075,Human,8.4,pKi,8.4,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,569,4.9,N#Cc1ccc(Cn2nc3c(-c4ccncc4)c(-c4ccc(Cl)cc4)c(=O)n(Cc4ccc(C#N)cc4)n3c2=O)cc1,10.1021/jm4010835
110077,Human,7.5,pKi,7.5,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,468,3.5,Cn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3)c(=O)n(Cc3ccc(C#N)cc3)n2c1=O,10.1021/jm4010835
110079,Human,7.6,pKi,7.6,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,512,4,Cn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3)c(=O)n(Cc3ccc(C(F)(F)F)nc3)n2c1=O,10.1021/jm4010835
110080,Human,8.1,pKi,8.1,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,526,4.3,Cc1nc(C(F)(F)F)ccc1Cn1c(=O)c(-c2ccncc2)c(-c2ccc(Cl)cc2)c2nn(C)c(=O)n21,10.1021/jm4010835
110081,Human,7.8,pKi,7.8,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,526,4.5,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3)c(=O)n(Cc3ccc(C(F)(F)F)nc3)n2c1=O,10.1021/jm4010835
110083,Human,8.1,pKi,8.1,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,554,5.1,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3C)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O,10.1021/jm4010835
110084,Human,8.9,pKi,8.9,Binding,BindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysisBindingaffinitytohumanCB1receptorexpressedinCHOcellsbyradioliganddisplacementbasedscintillationcountinganalysis,ChEMBL,564,5.3,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccc(C#N)cc3)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O,10.1021/jm4010835
